# HYG v4.1 bright-star subset (visual magnitude <= 6.0)
# hip name ra_hours dec_degrees magnitude distance_parsec spectral_type color_index constellation
2006	44    Psc	0.423391	1.939692	5.77	144.0922	G5III	0.855	Psc
2021	Bet Hyi	0.427916	-77.254247	2.82	7.4588	G2IV	0.618	Hyi
2072	Kap Phe	0.436716	-43.679829	3.93	23.8095	A7V	0.175	Phe
2081	Ankaa	0.438056	-42.305981	2.4	25.974	K0III...	1.083	Phe
2159	HIP 2159	0.454085	-25.54717	5.99	176.0563	K0III	1.022	Scl
2210	Eta Scl	0.465472	-33.007167	4.86	138.5042	M2/M3III	1.634	Scl
2219	47    Psc	0.467475	17.893125	5.01	162.0746	M3IIIvar	1.584	Psc
2225	HIP 2225	0.470454	44.394452	5.18	86.6551	A2Vs	0.043	And
2240	HIP 2240	0.474027	-39.915002	5.42	115.2074	M0III	1.556	Phe
2353	12    Cet	0.500655	-3.957332	5.72	173.913	M0III	1.545	Cet
2355	28    And	0.502045	29.751557	5.2	62.7746	A7III	0.271	And
2377	HIP 2377	0.505534	59.977554	5.94	235.8491	B9IIIn	-0.003	Cas
2381	HIP 2381	0.506293	-23.78768	5.17	53.1067	A3V	0.128	Cet
2383	HIP 2383	0.507242	-48.21491	5.67	43.0849	F2V	0.367	Phe
2472	Lam1Phe	0.523594	-48.803514	4.76	52.9661	A0V	0.018	Phe
2475	HIP 2475	0.523787	33.581642	5.88	116.144	K1III...	1.133	And
2484	Bet1Tuc	0.525725	-62.958218	4.36	41.4079	B9V	-0.064	Tuc
2487	Bet2Tuc	0.525946	-62.965561	4.53	51.6529	A2V	0.147	Tuc
2497	HIP 2497	0.528105	52.839526	5.59	116.8224	K2III	1.163	Cas
2505	14Lam Cas	0.529539	54.522289	4.74	115.7407	B8Vn	-0.098	Cas
2548	51    Psc	0.539939	6.955463	5.69	80.9717	B9.5V	-0.014	Psc
2568	52    Psc	0.543189	20.294316	5.38	80.0	K0III	1.069	Psc
2578	Bet3Tuc	0.545512	-63.0315	5.07	45.5581	A0V	0.038	Tuc
2599	15Kap Cas	0.549997	62.931783	4.17	100000.0	B1Ia	0.13	Cas
2611	HIP 2611	0.552879	54.894985	5.93	114.1553	K0III	1.037	Cas
2661	HIP 2661	0.561401	-29.558278	5.55	165.0165	K1III	1.262	Scl
2711	HIP 2711	0.574374	-52.37309	5.57	25.4842	F3IV-V	0.472	Phe
2762	13    Cet	0.587466	-3.592846	5.2	21.254	F8V...	0.567	Cet
2787	14    Cet	0.592454	-0.50561	5.94	54.4959	F5IV	0.444	Cet
2802	Lam2Phe	0.594767	-48.000907	5.51	34.8189	F6V	0.461	Phe
2854	HIP 2854	0.602306	54.16845	5.08	164.4737	B7III	-0.098	Cas
2876	HIP 2876	0.607595	60.326215	5.78	100000.0	A4III	0.294	Cas
2900	HIP 2900	0.612903	44.488587	5.14	189.0359	K5III	1.587	And
2903	53    Psc	0.613142	15.231725	5.89	318.4713	B2.5IV	-0.146	Psc
2912	29Pi  And	0.61468	33.719344	4.34	183.4862	B5V	-0.123	And
2920	Fulu	0.616188	53.896909	3.69	181.8182	B2IV	-0.196	Cas
2941	HIP 2941	0.622393	-24.767267	5.57	15.4012	K1V+...	0.715	Cet
2942	HIP 2942	0.622561	35.399501	5.45	259.7403	G5III	0.886	And
3031	30Eps And	0.642602	29.311751	4.34	50.226	G5III...	0.871	And
3083	HIP 3083	0.652748	49.354589	5.45	641.0256	K5III	1.644	Cas
3092	31Del And	0.655462	30.861024	3.27	32.352	K3III...	1.268	And
3093	54    Psc	0.656063	21.250472	5.88	11.0595	K0V	0.85	Psc
3137	HIP 3137	0.664428	-44.796293	6.0	94.162	K1IIICN...	1.142	Phe
3138	55    Psc	0.665436	21.438495	5.36	127.0648	F3V...	1.16	Psc
3170	HIP 3170	0.673659	-59.454604	5.89	24.9563	G1V	0.564	Tuc
3179	Schedar	0.675116	56.537331	2.24	69.979	K0II-IIIvar	1.17	Cas
3193	HIP 3193	0.678437	-4.351841	5.9	144.5087	K0III	1.091	Cet
3231	32    And	0.68533	39.458664	5.3	108.8139	G8III	0.891	And
3245	Mu  Phe	0.688766	-46.085007	4.59	75.358	G8III	0.953	Phe
3277	Xi  Phe	0.69621	-56.501315	5.72	67.0241	Ap	0.131	Phe
3299	HIP 3299	0.700953	66.147592	5.83	158.4786	G9III-IV	1.042	Cas
3300	19Xi  Cas	0.701081	50.512526	4.8	438.5965	B2.5V	-0.105	Cas
3330	Rho Tuc	0.707869	-65.46803	5.38	41.0341	F6V	0.515	Tuc
3352	HIP 3352	0.711609	-60.262807	5.99	70.8215	K5III	1.318	Tuc
3405	Eta Phe	0.722567	-57.46306	4.36	75.5287	A0IV	0.024	Phe
3414	20Pi  Cas	0.724466	47.024546	4.95	53.6769	A5V	0.17	Cas
3419	Diphda	0.72649	-17.986605	2.04	29.5334	K0III	1.019	Cet
3455	17Phi1Cet	0.7365	-10.60955	4.77	71.6332	K0IIIvar	0.998	Cet
3456	Lam2Scl	0.736683	-38.421686	5.9	103.8422	K1III	1.144	Scl
3478	HIP 3478	0.740612	47.863984	5.66	191.2046	B5V...	-0.113	Cas
