# OpenNGC selected deep-sky subset (Messier, named, bright, or large objects)
# display_name catalog_id ra_hours dec_degrees magnitude type constellation major_axis_arcmin minor_axis_arcmin position_angle_deg redshift messier
IC 4628	IC 4628	16.949564	-40.450972	12	Neb	Sco	89.13	58.88
IC 4634	IC 4634	17.025997	-21.825972	10.9	PN	Oph	0.14			-0.000115
IC 4651	IC 4651	17.41365	-49.93825	6.9	OCl	Ara	9.6			-0.000103
IC 4665	IC 4665	17.774217	5.648722	4.2	OCl	Oph	24.6			-0.000048
IC 4678	IC 4678	18.109297	-23.954444	10.4	Neb	Sgr
IC 4685	IC 4685	18.154861	-23.98725	12	Neb	Sgr	15	10
IC 4701	IC 4701	18.276594	-16.648278	12	Neb	Sgr	60	40
Eagle Nebula	IC 4703	18.315617	-13.845389	6	Neb	Se2	5.05	5.05	90	0.000033
Small Sgr Star Cloud	M 24 · IC 4715	18.282256	-18.514556	4.5	*Ass	Sgr	120	60	90		M 24
M 25	M 25 · IC 4725	18.529658	-19.114944	4.6	OCl	Sgr	14.1			0.00001	M 25
IC 4756	IC 4756	18.647642	5.462167	4.6	OCl	Se2	24			-0.000086
IC 4776	IC 4776	18.764083	-33.343056	10.8	PN	Sgr	0.12			0.000063
IC 4996	IC 4996	20.275908	37.555278	7.3	OCl	Cyg	6			0.000262
IC 4997	IC 4997	20.335778	16.731667	10.5	PN	Sge	0.03			-0.000215
IC 5068	IC 5068	20.8416	42.477694	12	HII	Cyg	40	30
Pelican Nebula	IC 5070	20.8502	44.4015	8	HII	Cyg	60	50
Cocoon Nebula	IC 5146	21.891322	47.266917	7.2	Cl+N	Cyg	10	10		-0.000018
IC 5148	IC 5148	21.993111	-39.385833	11	PN	Gru	2.3			-0.000087
IC 5152	IC 5152	22.044864	-51.296444	10.68	G	Ind	5.13	3.6	103	0.000407
IC 5267	IC 5267	22.953769	-43.396139	10.43	G	Gru	5.58	4.06	138	0.005701
IC 5332	IC 5332	23.574303	-36.101083	10.03	G	Scl	6.07	5.77	0	0.002341
Bow-Tie nebula	NGC 40	0.216953	72.521944	11.89	PN	Cep	0.8			-0.000068
NGC 45	NGC 45	0.234442	-23.182083	10.44	G	Cet	6.18	4.44	159	0.001553
NGC 55	NGC 55	0.248222	-39.196639	8.54	G	Scl	29.85	3.05	101	0.00043
NGC 103	NGC 103	0.421222	61.323472	9.8	OCl	Cas	2.7			-0.000261
47 Tuc Cluster	NGC 104	0.401489	-72.081444	4.09	GCl	Tuc	31.8			-0.000057
NGC 129	NGC 129	0.499497	60.211167	6.5	OCl	Cas	5.4			-0.000119
NGC 133	NGC 133	0.521378	63.352611	9.4	OCl	Cas	2.1
NGC 134	NGC 134	0.506103	-33.244028	10.31	G	Scl	8.38	1.79	50	0.005314
NGC 146	NGC 146	0.551094	63.309	9.1	OCl	Cas	3.6			0.00006
NGC 147	NGC 147	0.553367	48.50875	9.72	G	Cas	9.4	5.41	26	-0.000644
NGC 185	NGC 185	0.649436	48.337389	9.2	G	Cas	12.94	10.76	38	-0.00068
NGC 188	NGC 188	0.790981	85.269639	8.1	OCl	Cep	17.7			-0.000139
NGC 189	NGC 189	0.659917	61.094472	8.8	OCl	Cas	2.7			-0.000096
M 110	M 110 · NGC 205	0.6728	41.685306	8.15	G	And	16.22	9.59	170	-0.00082	M 110
M 32	M 32 · NGC 221	0.711619	40.865278	8.13	G	And	7.74	4.86	170	-0.000664	M 32
Andromeda Galaxy	M 31 · NGC 224	0.712319	41.269056	3.44	G	And	177.83	69.66	35	-0.001	M 31
NGC 225	NGC 225	0.726772	61.766944	7	OCl	Cas	4.2			-0.000093
NGC 246	NGC 246	0.784267	-11.871944	10.9	PN	Cet	4.08			-0.000052
NGC 247	NGC 247	0.785708	-20.760389	9.21	G	Cet	19.68	5.55	167	0.000531
Sculptor Filament	NGC 253	0.792533	-25.288222	11.11	G	Scl	26.79	4.58	53	0.000864
NGC 278	NGC 278	0.867864	47.5505	10.85	G	Cas	2.36	2.3	30	0.002141
NGC 281	NGC 281	0.883153	56.621889	12	HII	Cas	35	30		-0.000112
NGC 288	NGC 288	0.879847	-26.589889	8.13	GCl	Scl	9.6			-0.00015
Small Magellanic Cloud	NGC 292	0.879106	-72.828611	2.3	G	Tuc	299.92	179.89	45	0.000486
NGC 300	NGC 300	0.914856	-37.684389	8.66	G	Scl	19.41	13.06	114	0.000487
NGC 330	NGC 330	0.938236	-72.462944	9.55	OCl	Tuc	2.8	2.5	120
NGC 362	NGC 362	1.053953	-70.848222	6.58	GCl	Tuc	8.7			0.000745
NGC 376	NGC 376	1.064847	-72.823667	10.9	OCl	Tuc	1.8	1.8
NGC 381	NGC 381	1.138336	61.583278	9.3	OCl	Cas	6			-0.000075
NGC 404	NGC 404	1.157506	35.718139	10.55	G	And	3.4	3.37	90	-0.000107
NGC 419	NGC 419	1.138103	-72.8835	10.5	GCl	Tuc	2.8	2.8
NGC 436	NGC 436	1.26605	58.817111	8.8	OCl	Cas	5.7			-0.000248
Owl Cluster	NGC 457	1.325736	58.290694	6.4	OCl	Cas	7.8			-0.000039
NGC 488	NGC 488	1.363014	5.256722	10.26	G	Psc	5.05	3.66	13	0.007579
NGC 524	NGC 524	1.413256	9.538833	10.35	G	Psc	3.37	3.35	55	0.008106
NGC 559	NGC 559	1.492547	63.301444	9.5	OCl	Cas	9			-0.000258
M 103	M 103 · NGC 581	1.556058	60.658	7.4	OCl	Cas	4.5			-0.000152	M 103
NGC 584	NGC 584	1.522431	-6.868056	10.35	G	Cet	3.78	2.51	104	0.006134
NGC 596	NGC 596	1.5478	-7.031833	10.95	G	Cet	2.14	1.58	36	0.006211
Triangulum Galaxy	M 33 · NGC 598	1.564136	30.660222	5.79	G	Tri	62.09	36.73	23	-0.000598	M 33
NGC 609	NGC 609	1.606594	64.536583	11	OCl	Cas	4.8			-0.00015
NGC 613	NGC 613	1.571714	-29.418361	10.35	G	Scl	5.48	4.51	125	0.004951
M 74	M 74 · NGC 628	1.611597	15.783667	9.31	G	Psc	9.89	9.33	87	0.002188	M 74
NGC 637	NGC 637	1.717531	64.036556	8.2	OCl	Cas	4.5			-0.000153
Barbell Nebula	M 76 · NGC 650	1.705469	51.575472	10.1	PN	Per	1.12			-0.000079	M 76
NGC 654	NGC 654	1.733175	61.882722	6.5	OCl	Cas	6.3			-0.000129
NGC 659	NGC 659	1.739719	60.669167	7.9	OCl	Cas	4.2
NGC 663	NGC 663	1.771125	61.218194	7.1	OCl	Cas	6			-0.000108
NGC 672	NGC 672	1.798478	27.432778	10.92	G	Tri	7.01	2.71	69	0.001454
NGC 676	NGC 676	1.815919	5.907528	12	G	Psc	2.75	0.69	173	0.004983
NGC 720	NGC 720	1.883472	-13.738667	10.14	G	Cet	4.49	2.37	142	0.0054
NGC 744	NGC 744	1.974978	55.474611	7.9	OCl	Per	11.7			-0.000085
NGC 752	NGC 752	1.959672	37.833389	5.7	OCl	And	39			0.000016
NGC 772	NGC 772	1.988772	19.007528	10.3	G	Ari	4.57	2.52	131	0.00832
